Table Name(1),State Code (2),District Code(3),Tehsil Code  (4),Town  Code (5),Area Name (6),Total/ Rural/ Urban(7),Total number of households (8),Total number of households availing banking services  (9),"Availability of assets Radio/
Transistor (10)",Availability of assets Television (11),Availability of assets Computer/Laptop With Internet (12),Availability of assets Computer/Laptop Without Internet (13),Availability of assets Telephone/Mobile PhoneLandline only (14),Availability of assets Telephone/Mobile Phone Mobile only (15),Availability of assets Telephone/Mobile Phone Both (16),Availability of assets Bicycle (17),Availability of assets Scooter/ Motorcycle/Moped (18),Availability of assets Car/ Jeep/Van (19),"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car (20)",Availability of assets None of the assets specified in col.(21),,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,000,00000,000000,STATE - JAMMU & KASHMIR,Total,2015088,1410565,950425,1028155,57977,110383,72820,1194854,132533,208108,260306,150465,76556,349136,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,000,00000,000000,STATE - JAMMU & KASHMIR,Rural,1497920,979933,660979,589969,14918,57485,39494,844443,52617,110175,117780,54027,13911,329898,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,000,00000,000000,STATE - JAMMU & KASHMIR,Urban,517168,430632,289446,438186,43059,52898,33326,350411,79916,97933,142526,96438,62645,19238,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,000,00000,800013,Srinagar (M Corp. + OG),Urban,164000,137435,127184,150254,16018,17002,12336,118633,24017,43713,39284,33837,21527,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,000,00000,800033,Anantnag (M Cl + OG),Urban,16313,12616,11462,13572,827,1269,552,11818,2725,1471,1488,2389,1040,487,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00000,000000,District - Kupwara,Total,106777,53634,59480,26828,762,4494,1445,53437,1613,3019,1808,2988,495,26688,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00000,000000,District - Kupwara,Rural,96737,47498,52608,22385,595,3859,1181,47761,1205,2637,1534,2379,343,25296,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00000,000000,District - Kupwara,Urban,10040,6136,6872,4443,167,635,264,5676,408,382,274,609,152,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00001,000000,Sub-District - Kupwara,Total,58710,26542,31206,12649,432,2749,724,28664,1123,889,767,1471,266,16708,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00001,000000,Sub-District - Kupwara,Rural,52597,22818,27098,9810,322,2349,519,24545,765,701,579,1093,168,16002,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00001,000000,Sub-District - Kupwara,Urban,6113,3724,4108,2839,110,400,205,4119,358,188,188,378,98,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH4012,01,001,00001,800001,Kupwara (MC),Urban,1532,1242,1167,1021,52,110,39,1227,91,69,70,193,57,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
