,Table Name1,State Code 2,District Code3,Tehsil Code  4,Town  Code 5,Area Name 6,Total/ Rural/ Urban7,Total number of households 8,Total number of households availing banking services  9,"Availability of assets Radio/
Transistor 10",Availability of assets Television 11,Availability of assets Computer/Laptop With Internet 12,Availability of assets Computer/Laptop Without Internet 13,Availability of assets Telephone/Mobile PhoneLandline only 14,Availability of assets Telephone/Mobile Phone Mobile only 15,Availability of assets Telephone/Mobile Phone Both 16,Availability of assets Bicycle 17,Availability of assets Scooter/ Motorcycle/Moped 18,Availability of assets Car/ Jeep/Van 19,"Availability of assets Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car 20",Availability of assets None of the assets specified in col.21,new_name
706,HH4012,2,30,0,0,District - Bilaspur,Total,80453.0,68433.0,14900.0,61392.0,1574.0,4707.0,7650.0,47001.0,12284.0,5387.0,11397.0,6573.0,2779.0,7043.0,bilaspur
707,HH4012,2,30,0,0,District - Bilaspur,Rural,74661.0,63213.0,13402.0,56292.0,1159.0,3919.0,7357.0,43277.0,10814.0,4736.0,9574.0,5119.0,1961.0,6921.0,bilaspur
708,HH4012,2,30,0,0,District - Bilaspur,Urban,5792.0,5220.0,1498.0,5100.0,415.0,788.0,293.0,3724.0,1470.0,651.0,1823.0,1454.0,818.0,122.0,bilaspur
894,HH4012,3,35,0,0,District - Gurdaspur,Total,431212.0,288264.0,49368.0,365644.0,14428.0,24017.0,50731.0,235958.0,49386.0,280874.0,194705.0,32484.0,26895.0,19639.0,gurdaspur
895,HH4012,3,35,0,0,District - Gurdaspur,Rural,309898.0,200737.0,35592.0,255348.0,5398.0,12274.0,36779.0,169153.0,28908.0,217302.0,133669.0,16874.0,10184.0,15901.0,gurdaspur
896,HH4012,3,35,0,0,District - Gurdaspur,Urban,121314.0,87527.0,13776.0,110296.0,9030.0,11743.0,13952.0,66805.0,20478.0,63572.0,61036.0,15610.0,16711.0,3738.0,gurdaspur
939,HH4012,3,36,0,0,District - Kapurthala ,Total,165336.0,126450.0,37410.0,144945.0,9732.0,13413.0,10324.0,110664.0,24128.0,107044.0,90508.0,23561.0,18981.0,4918.0,kapurthala
940,HH4012,3,36,0,0,District - Kapurthala ,Rural,106870.0,80377.0,23367.0,92415.0,3085.0,5823.0,5611.0,73885.0,12910.0,73672.0,57745.0,12960.0,6931.0,3593.0,kapurthala
941,HH4012,3,36,0,0,District - Kapurthala ,Urban,58466.0,46073.0,14043.0,52530.0,6647.0,7590.0,4713.0,36779.0,11218.0,33372.0,32763.0,10601.0,12050.0,1325.0,kapurthala
947,HH4012,3,36,206,0,Sub-District - Kapurthala ,Total,67934.0,50640.0,15931.0,58687.0,4425.0,5786.0,3677.0,46377.0,8708.0,43431.0,37696.0,9600.0,8485.0,2447.0,kapurthala
948,HH4012,3,36,206,0,Sub-District - Kapurthala ,Rural,43535.0,31397.0,9851.0,36526.0,1163.0,2099.0,1770.0,30458.0,4169.0,29215.0,22816.0,4960.0,2566.0,1932.0,kapurthala
949,HH4012,3,36,206,0,Sub-District - Kapurthala ,Urban,24399.0,19243.0,6080.0,22161.0,3262.0,3687.0,1907.0,15919.0,4539.0,14216.0,14880.0,4640.0,5919.0,515.0,kapurthala
950,HH4012,3,36,206,800155,Kapurthala (M Cl),Urban,18756.0,14153.0,4783.0,16918.0,2463.0,2694.0,1768.0,11752.0,3563.0,9820.0,11140.0,3764.0,4305.0,430.0,kapurthala
1069,HH4012,3,41,0,0,District - Ludhiana,Total,716104.0,465442.0,121375.0,604959.0,58589.0,64811.0,57191.0,433701.0,115834.0,461137.0,360662.0,120172.0,101595.0,25248.0,ludhiana
1070,HH4012,3,41,0,0,District - Ludhiana,Rural,278323.0,181934.0,41815.0,232201.0,9987.0,17717.0,26814.0,150993.0,52080.0,214737.0,141448.0,39070.0,21287.0,9549.0,ludhiana
1071,HH4012,3,41,0,0,District - Ludhiana,Urban,437781.0,283508.0,79560.0,372758.0,48602.0,47094.0,30377.0,282708.0,63754.0,246400.0,219214.0,81102.0,80308.0,15699.0,ludhiana
1130,HH4012,3,43,0,0,District - Firozpur,Total,374167.0,197342.0,48714.0,277615.0,10042.0,21028.0,14135.0,241473.0,35063.0,237901.0,148610.0,37105.0,22046.0,25580.0,firozpur
1131,HH4012,3,43,0,0,District - Firozpur,Rural,271536.0,134157.0,36619.0,189289.0,3655.0,9928.0,9685.0,176510.0,19846.0,183339.0,101030.0,24133.0,7863.0,20755.0,firozpur
1132,HH4012,3,43,0,0,District - Firozpur,Urban,102631.0,63185.0,12095.0,88326.0,6387.0,11100.0,4450.0,64963.0,15217.0,54562.0,47580.0,12972.0,14183.0,4825.0,firozpur
1139,HH4012,3,43,235,0,Sub-District - Firozpur,Total,101857.0,57812.0,11178.0,81481.0,3874.0,6435.0,4435.0,65995.0,10661.0,65584.0,47834.0,12016.0,7925.0,5451.0,firozpur
1140,HH4012,3,43,235,0,Sub-District - Firozpur,Rural,66707.0,34197.0,7245.0,50429.0,1192.0,2514.0,2692.0,43669.0,5360.0,46979.0,29860.0,7229.0,2419.0,4019.0,firozpur
1141,HH4012,3,43,235,0,Sub-District - Firozpur,Urban,35150.0,23615.0,3933.0,31052.0,2682.0,3921.0,1743.0,22326.0,5301.0,18605.0,17974.0,4787.0,5506.0,1432.0,firozpur
1161,HH4012,3,44,0,0,District - Muktsar,Total,172792.0,92879.0,27409.0,130482.0,4571.0,9506.0,5945.0,110506.0,18693.0,109666.0,62205.0,23185.0,10160.0,12720.0,muktsar
1162,HH4012,3,44,0,0,District - Muktsar,Rural,122957.0,65117.0,22171.0,88601.0,1772.0,4141.0,4114.0,78012.0,11915.0,81694.0,42654.0,16149.0,3888.0,9917.0,muktsar
1163,HH4012,3,44,0,0,District - Muktsar,Urban,49835.0,27762.0,5238.0,41881.0,2799.0,5365.0,1831.0,32494.0,6778.0,27972.0,19551.0,7036.0,6272.0,2803.0,muktsar
1172,HH4012,3,44,241,0,Sub-District - Muktsar,Total,64290.0,34588.0,9617.0,48256.0,1903.0,4288.0,2356.0,40333.0,6798.0,41891.0,23860.0,8342.0,4496.0,4706.0,muktsar
1173,HH4012,3,44,241,0,Sub-District - Muktsar,Rural,39097.0,20111.0,6798.0,27273.0,478.0,1370.0,1396.0,23895.0,3252.0,26758.0,13656.0,4685.0,1152.0,3338.0,muktsar
1174,HH4012,3,44,241,0,Sub-District - Muktsar,Urban,25193.0,14477.0,2819.0,20983.0,1425.0,2918.0,960.0,16438.0,3546.0,15133.0,10204.0,3657.0,3344.0,1368.0,muktsar
1177,HH4012,3,45,0,0,District - Faridkot,Total,118193.0,70383.0,16469.0,93053.0,4348.0,7928.0,5047.0,74148.0,16563.0,82761.0,51638.0,15528.0,9745.0,6142.0,faridkot
1178,HH4012,3,45,0,0,District - Faridkot,Rural,76262.0,44131.0,11607.0,57538.0,1213.0,3046.0,3000.0,49110.0,8454.0,57633.0,32248.0,9268.0,3028.0,4097.0,faridkot
1179,HH4012,3,45,0,0,District - Faridkot,Urban,41931.0,26252.0,4862.0,35515.0,3135.0,4882.0,2047.0,25038.0,8109.0,25128.0,19390.0,6260.0,6717.0,2045.0,faridkot
1180,HH4012,3,45,242,0,Sub-District - Faridkot,Total,87492.0,52883.0,11348.0,69314.0,3689.0,6378.0,3703.0,54764.0,12335.0,59238.0,39518.0,11943.0,8150.0,4682.0,faridkot
1181,HH4012,3,45,242,0,Sub-District - Faridkot,Rural,52665.0,30604.0,7463.0,39749.0,856.0,2206.0,2010.0,34032.0,5463.0,38853.0,22731.0,6436.0,2190.0,2936.0,faridkot
1182,HH4012,3,45,242,0,Sub-District - Faridkot,Urban,34827.0,22279.0,3885.0,29565.0,2833.0,4172.0,1693.0,20732.0,6872.0,20385.0,16787.0,5507.0,5960.0,1746.0,faridkot
1189,HH4012,3,46,0,0,District - Bathinda,Total,266035.0,155531.0,43415.0,204051.0,11284.0,20969.0,11356.0,174630.0,29316.0,176384.0,106010.0,36173.0,24238.0,16833.0,bathinda
1190,HH4012,3,46,0,0,District - Bathinda,Rural,170853.0,88977.0,27881.0,120530.0,2362.0,7212.0,6410.0,112566.0,13135.0,114502.0,58393.0,18427.0,5306.0,13938.0,bathinda
