,Table Name1,State Code 2,District Name,Tehsil Name  4,Town 5   Name,Area Name 6,Main Source of lightingTotal /Rural/Urban 7,Main Source of lighting Total Number of Households 8,Main Source of lighting Electricity  9,Main Source of lighting Kerosene 10,Main Source of lighting Solar energy 11,Main Source of lighting Other oil 12,Main Source of lighting Any other 13,Main Source of lighting No lighting 14,d_name
706,HH2507,2.0,30.0,0.0,0.0,District - Bilaspur,Total,80453.0,79146.0,1169.0,33.0,24.0,23.0,58.0,bilaspur
707,HH2507,2.0,30.0,0.0,0.0,District - Bilaspur,Rural,74661.0,73414.0,1116.0,30.0,24.0,21.0,56.0,bilaspur
708,HH2507,2.0,30.0,0.0,0.0,District - Bilaspur,Urban,5792.0,5732.0,53.0,3.0,,2.0,2.0,bilaspur
894,HH2507,3.0,35.0,0.0,0.0,District - Gurdaspur,Total,431212.0,411216.0,14380.0,637.0,836.0,767.0,3376.0,gurdaspur
895,HH2507,3.0,35.0,0.0,0.0,District - Gurdaspur,Rural,309898.0,292199.0,12786.0,547.0,701.0,643.0,3022.0,gurdaspur
896,HH2507,3.0,35.0,0.0,0.0,District - Gurdaspur,Urban,121314.0,119017.0,1594.0,90.0,135.0,124.0,354.0,gurdaspur
939,HH2507,3.0,36.0,0.0,0.0,District - Kapurthala ,Total,165336.0,161206.0,2634.0,158.0,229.0,291.0,818.0,kapurthala
940,HH2507,3.0,36.0,0.0,0.0,District - Kapurthala ,Rural,106870.0,103333.0,2241.0,147.0,171.0,247.0,731.0,kapurthala
941,HH2507,3.0,36.0,0.0,0.0,District - Kapurthala ,Urban,58466.0,57873.0,393.0,11.0,58.0,44.0,87.0,kapurthala
947,HH2507,3.0,36.0,206.0,0.0,Sub-District - Kapurthala ,Total,67934.0,65868.0,1286.0,68.0,100.0,179.0,433.0,kapurthala
948,HH2507,3.0,36.0,206.0,0.0,Sub-District - Kapurthala ,Rural,43535.0,41744.0,1126.0,61.0,61.0,151.0,392.0,kapurthala
949,HH2507,3.0,36.0,206.0,0.0,Sub-District - Kapurthala ,Urban,24399.0,24124.0,160.0,7.0,39.0,28.0,41.0,kapurthala
950,HH2507,3.0,36.0,206.0,800155.0,Kapurthala (M Cl),Urban,18756.0,18521.0,149.0,7.0,36.0,26.0,17.0,kapurthala
1069,HH2507,3.0,41.0,0.0,0.0,District - Ludhiana,Total,716104.0,703624.0,7340.0,493.0,706.0,1478.0,2463.0,ludhiana
1070,HH2507,3.0,41.0,0.0,0.0,District - Ludhiana,Rural,278323.0,271505.0,4167.0,341.0,399.0,495.0,1416.0,ludhiana
1071,HH2507,3.0,41.0,0.0,0.0,District - Ludhiana,Urban,437781.0,432119.0,3173.0,152.0,307.0,983.0,1047.0,ludhiana
1130,HH2507,3.0,43.0,0.0,0.0,District - Firozpur,Total,374167.0,349662.0,15043.0,625.0,947.0,2838.0,5052.0,firozpur
1131,HH2507,3.0,43.0,0.0,0.0,District - Firozpur,Rural,271536.0,249633.0,13517.0,562.0,814.0,2544.0,4466.0,firozpur
1132,HH2507,3.0,43.0,0.0,0.0,District - Firozpur,Urban,102631.0,100029.0,1526.0,63.0,133.0,294.0,586.0,firozpur
1139,HH2507,3.0,43.0,235.0,0.0,Sub-District - Firozpur,Total,101857.0,96953.0,2360.0,131.0,162.0,990.0,1261.0,firozpur
1140,HH2507,3.0,43.0,235.0,0.0,Sub-District - Firozpur,Rural,66707.0,62476.0,1974.0,110.0,142.0,824.0,1181.0,firozpur
