Table Name(1),State Code (2) ,District Name,Tehsil Name  (4),Town (5)   Name,Area Name (6),Main Source of lightingTotal /Rural/Urban (7),Main Source of lighting Total Number of Households (8),Main Source of lighting Electricity  (9),Main Source of lighting Kerosene (10),Main Source of lighting Solar energy (11),Main Source of lighting Other oil (12),Main Source of lighting Any other (13),Main Source of lighting No lighting (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,000,00000,000000,STATE - JAMMU & KASHMIR,Total,2015088,1715557,195290,20813,4285,39778,39365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,000,00000,000000,STATE - JAMMU & KASHMIR,Rural,1497920,1208527,189124,20260,3969,37710,38330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,000,00000,000000,STATE - JAMMU & KASHMIR,Urban,517168,507030,6166,553,316,2068,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,000,00000,800013,Srinagar (M Corp. + OG),Urban,164000,161898,636,190,43,941,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,000,00000,800033,Anantnag (M Cl + OG),Urban,16313,16079,148,11,1,51,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00000,000000,District - Kupwara,Total,106777,83071,11092,2968,1224,5109,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00000,000000,District - Kupwara,Rural,96737,74011,10767,2939,1121,4759,3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00000,000000,District - Kupwara,Urban,10040,9060,325,29,103,350,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000000,Sub-District - Kupwara,Total,58710,42800,7672,2620,775,2905,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000000,Sub-District - Kupwara,Rural,52597,37211,7549,2614,679,2645,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000000,Sub-District - Kupwara,Urban,6113,5589,123,6,96,260,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,800001,Kupwara (MC),Urban,1532,1509,10,NA,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000123,Dara Pora (CT),Urban,690,666,11,1,NA,12,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000124,Sool Koot (CT),Urban,428,297,10,1,2,116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000125,Heri (CT),Urban,507,484,12,1,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000126,Trehgam (CT),Urban,1093,1012,31,NA,NA,31,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000127,Kral Pora (CT),Urban,525,373,9,1,86,56,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00001,000128,Drug Mulla (CT),Urban,1338,1248,40,2,NA,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00002,000000,Sub-District - Handwara,Total,37901,33188,2538,242,89,1212,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00002,000000,Sub-District - Handwara,Rural,36121,31553,2477,235,89,1140,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00002,000000,Sub-District - Handwara,Urban,1780,1635,61,7,NA,72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00002,800002,Handwara (MC),Urban,1780,1635,61,7,NA,72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00003,000000,Sub-District - Karnah,Total,10166,7083,882,106,360,992,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00003,000000,Sub-District - Karnah,Rural,8019,5247,741,90,353,974,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00003,000000,Sub-District - Karnah,Urban,2147,1836,141,16,7,18,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH2507,01,001,00003,000369,Tangdhar (CT),Urban,1084,985,60,13,2,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
